assignedRegion,blockJurisdiction,contactNumber,createdAt,departmentId,designation,email,fieldArea,gramSabhaArea,isActive,jurisdiction,level,name,officeAddress,panchayatArea,panchayatDetails,panchayatOfficers,panchayatWorkers,parentId,role,specialization,updatedAt,villageCount,wardNumber
Lucknow,,9876543222,2023-01-01T00:00:00Z,,Health Department Head,ravi.shankar@up.gov.in,,,True,Lucknow District,MID_LEVEL,Ravi Shankar,Lucknow Health Department Office,,,,,1.0,DEPARTMENT_HEAD,,2023-10-01T00:00:00Z,,
Kanpur Nagar,,9876543223,2023-01-01T00:00:00Z,,Education Department Head,pooja.gupta@up.gov.in,,,True,Kanpur Nagar District,MID_LEVEL,Pooja Gupta,Kanpur Nagar Education Department Office,,,,,2.0,DEPARTMENT_HEAD,,2023-10-01T00:00:00Z,,
Lucknow,Lucknow Block,9876543224,2023-01-01T00:00:00Z,,Block Officer,sanjay.kumar@up.gov.in,,,True,Lucknow District,MID_LEVEL,Sanjay Kumar,Lucknow Block Office,,,,,1.0,BLOCK_OFFICER,,2023-10-01T00:00:00Z,,
Lucknow,,9876543225,2023-01-01T00:00:00Z,,Nagar Sevak,anjali.sharma@up.gov.in,,,True,Lucknow District,OPERATIONAL_LEVEL,Anjali Sharma,Lucknow Ward 5 Office,,,,,1.0,NAGAR_SEVAK,,2023-10-01T00:00:00Z,,5
Lucknow,,9876543226,2023-01-01T00:00:00Z,,Panchayat Officer,vivek.singh@up.gov.in,,,True,Lucknow District,OPERATIONAL_LEVEL,Vivek Singh,Lucknow Panchayat Office,Lucknow Panchayat,,,,1.0,PANCHAYAT_OFFICER,,2023-10-01T00:00:00Z,,
Lucknow,,9876543227,2023-01-01T00:00:00Z,,Health Officer,rekha.yadav@up.gov.in,,,True,Lucknow District,OPERATIONAL_LEVEL,Rekha Yadav,Lucknow Health Department Office,,,,,1.0,DEPARTMENT_OFFICER,Health,2023-10-01T00:00:00Z,,
Lucknow,,9876543228,2023-01-01T00:00:00Z,,Field Worker,manoj.tiwari@up.gov.in,Field Area,,True,Lucknow District,OPERATIONAL_LEVEL,Manoj Tiwari,Lucknow Field Office,,,,,1.0,FIELD_WORKER,,2023-10-01T00:00:00Z,,
Lucknow,,9876543210,2023-01-01T00:00:00Z,,District Magistrate,anil.kumar@up.gov.in,,,True,Lucknow District,TOP_LEVEL,Anil Kumar,Lucknow DM Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Lucknow,,9876543211,2023-01-01T00:00:00Z,,Commissioner,sanjay.verma@up.gov.in,,,True,Lucknow Division,TOP_LEVEL,Sanjay Verma,Lucknow Commissioner's Office,,,,,1.0,COMMISSIONER,,2023-10-01T00:00:00Z,,
Lucknow,,9876543212,2023-01-01T00:00:00Z,,Administrator,rajesh.sharma@up.gov.in,,,True,Lucknow Municipal,TOP_LEVEL,Rajesh Sharma,Lucknow Administration Office,,,,,2.0,ADMINISTRATOR,,2023-10-01T00:00:00Z,,
Lucknow,,9876543213,2023-01-01T00:00:00Z,,Health Department Head,meera.kapoor@up.gov.in,,,True,Lucknow Health Department,MID_LEVEL,Meera Kapoor,Lucknow Health Dept. Office,,,,,3.0,DEPARTMENT_HEAD,Health,2023-10-01T00:00:00Z,,
Lucknow,,9876543214,2023-01-01T00:00:00Z,,Public Works Head,amit.tandon@up.gov.in,,,True,Lucknow PWD,MID_LEVEL,Amit Tandon,Lucknow PWD Office,,,,,3.0,DEPARTMENT_HEAD,Public Works,2023-10-01T00:00:00Z,,
Lucknow,Lucknow Block A,9876543229,2023-01-01T00:00:00Z,,Block Officer,rajiv.sinha@up.gov.in,,,True,Lucknow Block A,MID_LEVEL,Rajiv Sinha,Lucknow Block Office,,,,,4.0,BLOCK_OFFICER,,2023-10-01T00:00:00Z,,
Lucknow,,9876543230,2023-01-01T00:00:00Z,,Citizen,priyanka.mehta@up.gov.in,,,True,Lucknow District,CITIZEN_LEVEL,Priyanka Mehta,Lucknow Resident,,,,,,CITIZEN,,2023-10-01T00:00:00Z,,
Lucknow,,9876543231,2023-01-01T00:00:00Z,,Engineer,suresh.yadav@up.gov.in,,,True,Lucknow PWD,OPERATIONAL_LEVEL,Suresh Yadav,Lucknow PWD Office,,,,,5.0,DEPARTMENT_OFFICER,Public Works,2023-10-01T00:00:00Z,,
Kanpur,,9876543201,2023-01-01T00:00:00Z,,Panchayat Officer,rahul.verma@up.gov.in,,,True,Kanpur District,OPERATIONAL_LEVEL,Rahul Verma,Kanpur Panchayat Office,Kanpur Panchayat,,,,1.0,PANCHAYAT_OFFICER,,2023-10-01T00:00:00Z,,
Agra,,9876543202,2023-02-01T00:00:00Z,,Panchayat Officer,sonia.gupta@up.gov.in,,,True,Agra District,OPERATIONAL_LEVEL,Sonia Gupta,Agra Panchayat Office,Agra Panchayat,,,,2.0,PANCHAYAT_OFFICER,,2023-11-01T00:00:00Z,,
Varanasi,,9876543203,2023-03-01T00:00:00Z,,Panchayat Officer,amit.tiwari@up.gov.in,,,True,Varanasi District,OPERATIONAL_LEVEL,Amit Tiwari,Varanasi Panchayat Office,Varanasi Panchayat,,,,3.0,PANCHAYAT_OFFICER,,2023-12-01T00:00:00Z,,
Lucknow,,9876543204,2023-04-01T00:00:00Z,,Panchayat Officer,neha.sharma@up.gov.in,,,True,Lucknow District,OPERATIONAL_LEVEL,Neha Sharma,Lucknow Panchayat Office,Lucknow Panchayat,,,,4.0,PANCHAYAT_OFFICER,,2023-09-01T00:00:00Z,,
Meerut,,9876543205,2023-05-01T00:00:00Z,,Panchayat Officer,vikas.dubey@up.gov.in,,,True,Meerut District,OPERATIONAL_LEVEL,Vikas Dubey,Meerut Panchayat Office,Meerut Panchayat,,,,5.0,PANCHAYAT_OFFICER,,2023-08-01T00:00:00Z,,
Gorakhpur,,9876543206,2023-01-01T00:00:00Z,,Gram Panchayat Officer,deepak.yadav@up.gov.in,,,True,Gorakhpur District,OPERATIONAL_LEVEL,Deepak Yadav,Gorakhpur Gram Panchayat Office,,,,,1.0,GRAM_PANCHAYAT,,2023-10-01T00:00:00Z,,6
Faizabad,,9876543207,2023-02-01T00:00:00Z,,Gram Panchayat Officer,anjali.mishra@up.gov.in,,,True,Faizabad District,OPERATIONAL_LEVEL,Anjali Mishra,Faizabad Gram Panchayat Office,,,,,2.0,GRAM_PANCHAYAT,,2023-11-01T00:00:00Z,,7
Aligarh,,9876543208,2023-03-01T00:00:00Z,,Gram Panchayat Officer,rajat.singh@up.gov.in,,,True,Aligarh District,OPERATIONAL_LEVEL,Rajat Singh,Aligarh Gram Panchayat Office,,,,,3.0,GRAM_PANCHAYAT,,2023-12-01T00:00:00Z,,8
Mathura,,9876543209,2023-04-01T00:00:00Z,,Gram Panchayat Officer,simran.kaur@up.gov.in,,,True,Mathura District,OPERATIONAL_LEVEL,Simran Kaur,Mathura Gram Panchayat Office,,,,,4.0,GRAM_PANCHAYAT,,2023-09-01T00:00:00Z,,9
Bareilly,,9876543210,2023-05-01T00:00:00Z,,Gram Panchayat Officer,vivek.trivedi@up.gov.in,,,True,Bareilly District,OPERATIONAL_LEVEL,Vivek Trivedi,Bareilly Gram Panchayat Office,,,,,5.0,GRAM_PANCHAYAT,,2023-08-01T00:00:00Z,,10
Varanasi,Varanasi Block,9876543211,2023-01-01T00:00:00Z,,Block Officer,manish.thakur@up.gov.in,,,True,Varanasi Block,MID_LEVEL,Manish Thakur,Varanasi Block Office,,,,,1.0,BLOCK_OFFICER,,2023-10-01T00:00:00Z,,
Kanpur,Kanpur Block,9876543212,2023-02-01T00:00:00Z,,Block Officer,poonam.dixit@up.gov.in,,,True,Kanpur Block,MID_LEVEL,Poonam Dixit,Kanpur Block Office,,,,,2.0,BLOCK_OFFICER,,2023-11-01T00:00:00Z,,
Agra,Agra Block,9876543213,2023-03-01T00:00:00Z,,Block Officer,rahul.saxena@up.gov.in,,,True,Agra Block,MID_LEVEL,Rahul Saxena,Agra Block Office,,,,,3.0,BLOCK_OFFICER,,2023-12-01T00:00:00Z,,
Lucknow,Lucknow Block,9876543214,2023-04-01T00:00:00Z,,Block Officer,pallavi.yadav@up.gov.in,,,True,Lucknow Block,MID_LEVEL,Pallavi Yadav,Lucknow Block Office,,,,,4.0,BLOCK_OFFICER,,2023-09-01T00:00:00Z,,
Meerut,Meerut Block,9876543215,2023-05-01T00:00:00Z,,Block Officer,rajat.kapoor@up.gov.in,,,True,Meerut Block,MID_LEVEL,Rajat Kapoor,Meerut Block Office,,,,,5.0,BLOCK_OFFICER,,2023-08-01T00:00:00Z,,
Lucknow,,9876543216,2023-01-01T00:00:00Z,,Commissioner,arun.mehta@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Arun Mehta,Lucknow Commissioner Office,,,,,1.0,COMMISSIONER,,2023-10-01T00:00:00Z,,
Agra,,9876543217,2023-01-01T00:00:00Z,,Administrator,rajesh.sharma@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Rajesh Sharma,Agra Admin Office,,,,,1.0,ADMINISTRATOR,,2023-10-01T00:00:00Z,,
Lucknow,,9876543301,2023-01-01T00:00:00Z,,Commissioner,rajesh.verma@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Rajesh Verma,Lucknow Headquarters,,,,,,COMMISSIONER,,2024-01-01T00:00:00Z,,
Kanpur,,9876543302,2023-02-01T00:00:00Z,,State Administrator,neha.srivastava@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Neha Srivastava,Kanpur State Office,,,,,,ADMINISTRATOR,,2024-02-01T00:00:00Z,,
Varanasi,,9876543303,2023-03-01T00:00:00Z,,Health Department Officer,amit.khanna@up.gov.in,Health,,True,Varanasi District,MID_LEVEL,Amit Khanna,Varanasi Health Dept,,,,,,DEPARTMENT_OFFICER,,2024-03-01T00:00:00Z,,Varanasi
Prayagraj,Prayagraj Block,9876543304,2023-04-01T00:00:00Z,,Block Development Officer,suman.gupta@up.gov.in,,,True,Prayagraj District,MID_LEVEL,Suman Gupta,Prayagraj Block Office,,,,,,BLOCK_OFFICER,,2024-04-01T00:00:00Z,,
Gorakhpur,,9876543305,2023-05-01T00:00:00Z,,Nagar Sevak,pankaj.dubey@up.gov.in,,,True,Gorakhpur Municipality,OPERATIONAL_LEVEL,Pankaj Dubey,Gorakhpur Nagar Office,,,,,,NAGAR_SEVAK,,2024-05-01T00:00:00Z,,7
Agra,,9876543306,2023-06-01T00:00:00Z,,Panchayat Officer,ravi.tandon@up.gov.in,,,True,Agra District,OPERATIONAL_LEVEL,Ravi Tandon,Agra Panchayat Office,Agra Panchayat,,,,,PANCHAYAT_OFFICER,,2024-06-01T00:00:00Z,,
Bareilly,,9876543307,2023-07-01T00:00:00Z,,Gram Panchayat Head,kavita.sharma@up.gov.in,Rural Development,,True,Bareilly District,OPERATIONAL_LEVEL,Kavita Sharma,Bareilly Gram Office,Bareilly Panchayat,,,,,GRAM_PANCHAYAT,,2024-07-01T00:00:00Z,,
Meerut,,9876543308,2023-08-01T00:00:00Z,,Field Worker,suraj.mishra@up.gov.in,Sanitation,,True,Meerut District,OPERATIONAL_LEVEL,Suraj Mishra,Meerut Field Office,,,,,,FIELD_WORKER,,2024-08-01T00:00:00Z,,
Ghaziabad,,9876543309,2023-09-01T00:00:00Z,,Commissioner,reena.yadav@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Reena Yadav,Ghaziabad Commissioner Office,,,,,,COMMISSIONER,,2024-09-01T00:00:00Z,,
Aligarh,,9876543310,2023-10-01T00:00:00Z,,State Administrator,ajay.pratap@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Ajay Pratap,Aligarh Admin Office,,,,,,ADMINISTRATOR,,2024-10-01T00:00:00Z,,
Jhansi,,9876543311,2023-11-01T00:00:00Z,,Education Department Officer,sunita.mehra@up.gov.in,Education,,True,Jhansi District,MID_LEVEL,Sunita Mehra,Jhansi Education Dept,,,,,,DEPARTMENT_OFFICER,,2024-11-01T00:00:00Z,,Jhansi
Ayodhya,Ayodhya Block,9876543312,2023-12-01T00:00:00Z,,Block Development Officer,vishal.trivedi@up.gov.in,,,True,Ayodhya District,MID_LEVEL,Vishal Trivedi,Ayodhya Block Office,,,,,,BLOCK_OFFICER,,2024-12-01T00:00:00Z,,
Mathura,,9876543313,2023-01-05T00:00:00Z,,Nagar Sevak,priya.chauhan@up.gov.in,,,True,Mathura Municipality,OPERATIONAL_LEVEL,Priya Chauhan,Mathura Nagar Office,,,,,,NAGAR_SEVAK,,2024-01-05T00:00:00Z,,4
Saharanpur,,9876543314,2023-02-05T00:00:00Z,,Panchayat Officer,ankit.shukla@up.gov.in,,,True,Saharanpur District,OPERATIONAL_LEVEL,Ankit Shukla,Saharanpur Panchayat Office,Saharanpur Panchayat,,,,,PANCHAYAT_OFFICER,,2024-02-05T00:00:00Z,,
Gonda,,9876543315,2023-03-05T00:00:00Z,,Gram Panchayat Head,alok.singh@up.gov.in,Rural Infrastructure,,True,Gonda District,OPERATIONAL_LEVEL,Alok Singh,Gonda Gram Office,Gonda Panchayat,,,,,GRAM_PANCHAYAT,,2024-03-05T00:00:00Z,,
Moradabad,,9876543316,2023-04-05T00:00:00Z,,Field Worker,meena.tiwari@up.gov.in,Hygiene & Water Supply,,True,Moradabad District,OPERATIONAL_LEVEL,Meena Tiwari,Moradabad Field Office,,,,,,FIELD_WORKER,,2024-04-05T00:00:00Z,,
Fatehpur,,9876543317,2023-05-05T00:00:00Z,,Commissioner,dinesh.patel@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Dinesh Patel,Fatehpur Commissioner Office,,,,,,COMMISSIONER,,2024-05-05T00:00:00Z,,
Faizabad,,9876543318,2023-06-05T00:00:00Z,,State Administrator,seema.rani@up.gov.in,,,True,Uttar Pradesh,TOP_LEVEL,Seema Rani,Faizabad Admin Office,,,,,,ADMINISTRATOR,,2024-06-05T00:00:00Z,,
Ghazipur,,9876543319,2023-07-05T00:00:00Z,,Agriculture Department Officer,suresh.yadav@up.gov.in,Agriculture,,True,Ghazipur District,MID_LEVEL,Suresh Yadav,Ghazipur Agriculture Dept,,,,,,DEPARTMENT_OFFICER,,2024-07-05T00:00:00Z,,Ghazipur
Sitapur,Sitapur Block,9876543320,2023-08-05T00:00:00Z,,Block Development Officer,deepak.pandey@up.gov.in,,,True,Sitapur District,MID_LEVEL,Deepak Pandey,Sitapur Block Office,,,,,,BLOCK_OFFICER,,2024-08-05T00:00:00Z,,
Shahjahanpur,,9876543321,2023-09-05T00:00:00Z,,Nagar Sevak,pooja.saxena@up.gov.in,,,True,Shahjahanpur Municipality,OPERATIONAL_LEVEL,Pooja Saxena,Shahjahanpur Nagar Office,,,,,,NAGAR_SEVAK,,2024-09-05T00:00:00Z,,6
Basti,,9876543322,2023-10-05T00:00:00Z,,Panchayat Officer,kiran.sharma@up.gov.in,,,True,Basti District,OPERATIONAL_LEVEL,Kiran Sharma,Basti Panchayat Office,Basti Panchayat,,,,,PANCHAYAT_OFFICER,,2024-10-05T00:00:00Z,,
Gautam Buddha Nagar,,0120-2560199,,,District Magistrate,dm.gautambudhnagar@up.gov.in,,,True,Gautam Buddha Nagar District,TOP,Suhas L Y,"District Collectorate, Surajpur, Greater Noida",,,,,auth_003,DISTRICT_MAGISTRATE,,,,
Lucknow,,0522-2628469,,,District Magistrate,dm.lucknow@up.gov.in,,,True,Lucknow District,TOP,Indra Vikram Singh,"Collector Office, 1st Floor, Vikas Bhawan, Lucknow",,,,,auth_003,DISTRICT_MAGISTRATE,,,,
Lucknow Division,,0522-2238598,,,Divisional Commissioner,commissioner.lucknow@up.gov.in,,,True,"Lucknow, Hardoi, Unnao, Rae Bareli, Sitapur",TOP,Ravindra Kumar,"Commissioner Office, 5 Park Road, Lucknow",,,,,,COMMISSIONER,,,,
Chinhat Block,Chinhat Block,0522-2657841,,,Block Development Officer,bdo.chinhat@up.gov.in,,,True,Chinhat Development Block,MID,Anil Kumar Singh,"Block Office, Chinhat, Lucknow",,,,,auth_002,BLOCK_OFFICER,,,,
Sarojini Nagar,,0522-2657890,,,Gram Panchayat Officer,po.sarojininagar@up.gov.in,,Sarojini Nagar Area,True,Sarojini Nagar Panchayat,OPERATIONAL,Rajesh Kumar,"Panchayat Bhawan, Sarojini Nagar",Sarojini Nagar,"{""totalPopulation"": 25000, ""mainOccupation"": ""Agriculture""}","{""secretary"": ""Ram Kumar"", ""assistants"": 3}","{""totalWorkers"": 15, ""categories"": [""MGNREGA"", ""Health"", ""Education""]}",auth_005,PANCHAYAT_OFFICER,,,12.0,
Gomti Nagar,,0522-2395467,,,Municipal Corporator,nagarsevak.gomtinagar@up.gov.in,,,True,Gomti Nagar Zone,MID,Amit Pal Sharma,"Municipal Office, Gomti Nagar, Lucknow",,,,,auth_002,NAGAR_SEVAK,Urban Development,,,Ward 56
Uttar Pradesh,,0522-2287327,,,Director General Health Services,depthead.health@up.gov.in,,,True,State Health Services,MID,Dr. Rakesh Verma,"Swasthya Bhawan, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Public Health Administration,,,
Uttar Pradesh,,0522-2238329,,,Director of Education,depthead.education@up.gov.in,,,True,State Education Department,MID,Vijay Kiran Anand,"Directorate of Education, Nishatganj, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Education Administration,,,
Uttar Pradesh,,0522-2623175,,,Director of Agriculture,depthead.agriculture@up.gov.in,,,True,State Agriculture Department,MID,Manoj Kumar Singh,"Krishi Bhawan, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Agricultural Development,,,
Uttar Pradesh,,0522-2236496,,,Engineer-in-Chief PWD,depthead.pwd@up.gov.in,,,True,Public Works Department,MID,S.V.S. Ranga Rao,"PWD Headquarters, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Infrastructure Development,,,
Uttar Pradesh,,0522-2287796,,,Director Rural Development,depthead.rural@up.gov.in,,,True,Rural Development Department,MID,Aparna U,"Vikas Bhawan, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Rural Development,,,
Uttar Pradesh,,0522-2238902,,,Director of Industries,depthead.industries@up.gov.in,,,True,Industries Department,MID,Dr. Roshan Jacob,"Udyog Bandhu, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Industrial Development,,,
Uttar Pradesh,,0522-2613978,,,Transport Commissioner,depthead.transport@up.gov.in,,,True,Transport Department,MID,Rajesh Kumar Tyagi,"Transport Commissionerate, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Transport Management,,,
Uttar Pradesh,,0522-2286103,,,Director Urban Development,depthead.urban@up.gov.in,,,True,Urban Development Department,MID,Parthasarathy Sen Sharma,"Nagar Vikas Bhawan, Lucknow",,,,,auth_003,DEPARTMENT_HEAD,Urban Planning,,,
Lucknow East,,0522-2657123,,,Field Supervisor,fieldworker.lucknow@up.gov.in,Indira Nagar Sector,,True,Eastern Lucknow Sector,OPERATIONAL,Manoj Kumar,"Field Office, Indira Nagar, Lucknow",,,,,auth_004,FIELD_WORKER,Field Operations,,,
Uttar Pradesh,,0522-2238876,,,Principal Secretary Health,administrator.health@up.gov.in,,,True,State Health Administration,TOP,Dr. Sanjay Singh,"Lok Bhawan, Lucknow",,,,,,ADMINISTRATOR,Health Administration,,,
Meerut Division,,0121-2645678,,,Divisional Commissioner,commissioner.meerut@up.gov.in,,,True,"Meerut, Baghpat, Ghaziabad, Bulandshahr",TOP,Ritu Maheshwari,"Commissioner Office, Meerut",,,,,,COMMISSIONER,,,,
Ghaziabad,,0120-2790771,,,District Magistrate,dm.ghaziabad@up.gov.in,,,True,Ghaziabad District,TOP,Selva Kumari J,"Collectorate, Ghaziabad",,,,,auth_011,DISTRICT_MAGISTRATE,,,,
Modinagar,,0121-2675432,,,Gram Panchayat Officer,po.modinagar@up.gov.in,,Modinagar Area,True,Modinagar Block,OPERATIONAL,Surendra Singh,"Panchayat Office, Modinagar",Modinagar,"{""totalPopulation"": 30000, ""mainOccupation"": ""Industry""}","{""secretary"": ""Amit Kumar"", ""assistants"": 4}","{""totalWorkers"": 20, ""categories"": [""Sanitation"", ""Development""]}",auth_012,PANCHAYAT_OFFICER,,,15.0,
Meerut Sadar,Meerut Sadar Block,0121-2678543,,,Block Development Officer,bdo.sadar@up.gov.in,,,True,Meerut Sadar Block,MID,Yogesh Kumar,"Block Office, Meerut Sadar",,,,,auth_011,BLOCK_OFFICER,,,,
Lucknow,,0522-2616102,,,Chief Medical Officer,dmo.lucknow@up.gov.in,,,True,Lucknow Medical Zone,OPERATIONAL,Dr. Prerna Singh,"CMO Office, Lalbagh, Lucknow",,,,,auth_002,DEPARTMENT_OFFICER,Public Health,,,
Lucknow,,0522-2625789,,,District Education Officer,deptoff.education@up.gov.in,,,True,District Education Department,OPERATIONAL,Dr. Archana Sharma,"DEO Office, Hazratganj, Lucknow",,,,,auth_002,DEPARTMENT_OFFICER,Education Administration,,,
Varanasi,,0542-2509999,,,District Magistrate,dm.varanasi@up.gov.in,,,True,Varanasi District,TOP,Vikas Pandey,"Collectorate, Varanasi",,,,,auth_020,DISTRICT_MAGISTRATE,,,,
Agra Division,,0562-2601234,,,Divisional Commissioner,commissioner.agra@up.gov.in,,,True,"Agra, Firozabad, Mathura, Mainpuri",TOP,Rahul Sharma,"Commissioner Office, Agra",,,,,,COMMISSIONER,,,,
Barabanki,Barabanki,05248-220011,,,Block Development Officer,bdo.barabanki@up.gov.in,,,True,Barabanki Block,MID,Arun Singh,"Block Office, Barabanki",,,,,auth_021,BLOCK_OFFICER,,,,
Sitapur,,05862-262121,,,Gram Panchayat Officer,po.sitapur@up.gov.in,,Sitapur Area,True,Sitapur Panchayat,OPERATIONAL,Meena Kumari,"Panchayat Bhawan, Sitapur",Sitapur,"{""totalPopulation"": 28000, ""mainOccupation"": ""Agriculture""}","{""secretary"": ""Sunil Mishra"", ""assistants"": 5}","{""totalWorkers"": 18, ""categories"": [""MGNREGA"", ""Health""]}",auth_022,PANCHAYAT_OFFICER,,,10.0,
Kanpur,,0512-2546789,,,Municipal Corporator,nagarsevak.kanpur@up.gov.in,,,True,Kanpur Zone,MID,Neeraj Kumar,"Municipal Office, Kanpur",,,,,auth_023,NAGAR_SEVAK,Urban Development,,,Ward 42
Uttar Pradesh,,0522-2200199,,,Director General Agriculture,depthead.agriculture@up.gov.in,,,True,State Agriculture Services,MID,Dr. Sunita Verma,"Agriculture Bhawan, Lucknow",,,,,auth_024,DEPARTMENT_HEAD,Agriculture Development,,,
Allahabad,,0532-2409876,,,Field Supervisor,fieldworker.allahabad@up.gov.in,Naini Sector,,True,Allahabad Rural Sector,OPERATIONAL,Rakesh Yadav,"Field Office, Prayagraj",,,,,auth_025,FIELD_WORKER,Field Operations,,,
Uttar Pradesh,,0522-2234576,,,Principal Secretary Transport,administrator.transport@up.gov.in,,,True,State Transport Administration,TOP,Dr. Rajesh Tiwari,"Lok Bhawan, Lucknow",,,,,,ADMINISTRATOR,Transport Administration,,,
Bareilly Division,,0581-2526789,,,Divisional Commissioner,commissioner.bareilly@up.gov.in,,,True,"Bareilly, Badaun, Pilibhit",TOP,Alok Kumar Singh,"Commissioner Office, Bareilly",,,,,,COMMISSIONER,,,,
Moradabad,,0591-2412567,,,District Magistrate,dm.moradabad@up.gov.in,,,True,Moradabad District,TOP,Anjali Sinha,"Collectorate, Moradabad",,,,,auth_026,DISTRICT_MAGISTRATE,,,,
Aligarh,,0571-2751234,,,Gram Panchayat Officer,po.aligarh@up.gov.in,,Aligarh Area,True,Aligarh Block,OPERATIONAL,Manish Gupta,"Panchayat Office, Aligarh",Aligarh,"{""totalPopulation"": 22000, ""mainOccupation"": ""Handicrafts""}","{""secretary"": ""Amit Sharma"", ""assistants"": 3}","{""totalWorkers"": 12, ""categories"": [""Sanitation"", ""Infrastructure""]}",auth_027,PANCHAYAT_OFFICER,,,8.0,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP Jal Nigam,MID,Shri V. K. Singh,"Office Address, Lucknow",,,,,auth_001,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP Power Corporation Ltd.,MID,Dr. Arvind Kumar,"Office Address, Lucknow",,,,,auth_002,DEPARTMENT_HEAD,,,,
