gpscoordinates_longitude,email,complaint_type,location,CreatedAt,title,citizenName,category,economicImpact,environmentalImpact,emotion,lastUpdatedDate,ResolutionTime,tehsil,id,complaintType,socialImpact,pincode,status,district,date,submissionDate,complaint,contactNumber,updatedAt,relatedPolicies,subcategory,urgencyLevel,ward,gpscoordinates_latitude,isAnonymous,estimated,departmentAssigned
82.9833,example1010@gmail.com,,"Rampur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1010,Anil Kumar,Sanitation,Medium - Increased healthcare costs due to diseases,High - Pollution and contamination of local environment,Disgust,2025-02-05,28,N/A,1010,Garbage,High - Affecting public health and hygiene,231219,Open,Obra,,2025-02-05,"The garbage bins are never cleared on time, and the streets are always littered with waste. It’s become a serious environmental concern.",6718319298,2025-02-05 01:41:04,"['Municipal Solid Waste Management Rules', 'Public Health Act']",Waste Management,High,N/A,24.4167,True,30,Municipal Corporation
78.2667,example1011@gmail.com,,"Basti, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1011,Manoj Singh,Infrastructure,Medium - Vehicle repair costs and delays,Low - Minor impact on local environment,Anger,2025-02-05,20,N/A,1011,Roads,High - Increased accidents and injuries,246725,In Progress,Chandpur R S,,2025-02-05,"The roads are not only poorly maintained but are also overcrowded with heavy traffic. This causes constant delays and accidents, and the situation has been ignored for far too long.",8579159567,2025-02-05 01:41:04,"['Public Works Department Guidelines', 'Road Safety Act']",Road Maintenance,High,N/A,29.15,False,38,Public Works Department
82.85,example1012@gmail.com,,"Sitapur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1012,Kavita Sharma,Transport,Medium - Increased expenses on alternative transport,Low - Minor impact on local environment,Irritation,2025-02-05,9,N/A,1012,Public Transport,High - Affecting daily commute and productivity,224001,Closed,Qandhari Bazar,,2025-02-05,"There are hardly any buses during off-peak hours. It’s extremely difficult to travel within the city after 8 PM, and people are forced to use private vehicles.",8285584196,2025-02-05 01:41:04,"['Public Transport Regulations', 'Urban Transport Policy']",Public Transport,Medium,N/A,26.3667,False,83,State Transport Department
77.1861,example1013@gmail.com,,"Moradabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1013,Rohit Verma,Healthcare,Medium - Increased healthcare costs,Low - Minor impact on local environment,Frustration,2025-02-05,2,N/A,1013,Health Services,High - Affecting public health and well-being,202140,Closed,Lodha,,2025-02-05,"We visited the district hospital, and the conditions were appalling. The hospital was overcrowded, lacked proper facilities, and the doctors were unavailable for consultations.",7028544164,2025-02-05 01:41:04,"['Public Health Act', 'Hospital Management Guidelines']",Hospital Management,High,N/A,26.6667,True,49,Health Department
79.1889,example1014@gmail.com,,"Kanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1014,Sanjay Gupta,Law & Order,Medium - Losses due to theft and crime,Low - Minor impact on local environment,Anger,2025-02-05,26,N/A,1014,Police & Law,High - Increased crime and insecurity,206120,In Progress,Aheripur,,2025-02-05,"The police are failing to provide security in our neighborhood. We have had several robberies, and despite reporting them, there is no visible improvement in the situation.",7224951411,2025-02-05 01:41:04,"['Police Act', 'Criminal Procedure Code']",Crime Management,High,N/A,26.6556,True,89,Police Department
77.85,example1015@gmail.com,,"Varanasi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1015,Priya Singh,Education,Medium - Increased expenses on private tuition,Low - Minor impact on local environment,Concern,2025-02-05,29,N/A,1015,Education,High - Affecting quality of education,202132,Closed,Chandaus,,2025-02-05,"There is a severe shortage of classrooms in our school, and students are forced to study in poorly ventilated areas. This has a direct impact on their learning experience.",8796197574,2025-02-05 01:41:04,"['Education Act', 'Teacher Recruitment Policy']",School Management,High,N/A,28.0833,False,68,Education Department
83.0,example1016@gmail.com,,"Meerut, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1016,Vijay Kumar,Infrastructure,Medium - Families spending extra money on private water tankers,Low - Minor impact on local vegetation,Disappointment,2025-02-05,23,N/A,1016,Water Supply,High - Affecting daily lives of hundreds of families in the area,221004,In Progress,D L W Varanasi,,2025-02-05,"The water supply has been erratic, and when the water does arrive, it’s often dirty. We have raised complaints, but no improvement has been seen.",9245280913,2025-02-05 01:41:04,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",Water Distribution,High,N/A,25.3333,True,80,UP Jal Nigam
79.35,example1017@gmail.com,,"Jalaun, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1017,Anita Yadav,Utilities,High - Business losses and additional expenses on generators,Medium - Increased generator usage causing pollution,Irritation,2025-02-05,29,N/A,1017,Electricity,High - Disrupting business operations and daily activities,285124,In Progress,Jagmanpur,,2025-02-05,The frequent power outages in our area are becoming unbearable. Even essential services like water pumps are not functioning properly due to power cuts.,8748706443,2025-02-05 01:41:04,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",Power Distribution,High,N/A,26.15,True,34,UP Power Corporation Ltd.
80.1772,example1018@gmail.com,,"Ballia, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1018,Deepak Sharma,Sanitation,Medium - Increased healthcare costs due to diseases,High - Pollution and contamination of local environment,Frustration,2025-02-05,25,N/A,1018,Garbage,High - Affecting public health and hygiene,222110,In Progress,I I T Siddiqpur,,2025-02-05,"Garbage piles up on the streets every day, and the authorities never take action. This leads to the spread of diseases and creates a serious public health concern.",8493658359,2025-02-05 01:41:04,"['Municipal Solid Waste Management Rules', 'Public Health Act']",Waste Management,High,N/A,27.6261,True,100,Municipal Corporation
77.425,example1019@gmail.com,,"Unnao, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1019,Rakesh Kumar,Infrastructure,Medium - Vehicle repair costs and delays,Low - Minor impact on local environment,Anger,2025-02-05,18,N/A,1019,Roads,High - Increased accidents and injuries,232106,Closed,Kamalpur,,2025-02-05,"The roads are so poorly maintained that they are barely usable. The government should prioritize road repairs, as it’s causing delays, accidents, and inconvenience.",9739598625,2025-02-05 01:41:04,"['Public Works Department Guidelines', 'Road Safety Act']",Road Maintenance,High,N/A,29.685,True,31,Public Works Department
81.5,example1020@gmail.com,,"Muzaffarnagar, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1020,Meena Verma,Transport,Medium - Increased expenses on alternative transport,Low - Minor impact on local environment,Annoyance,2025-02-05,7,N/A,1020,Public Transport,High - Affecting daily commute and productivity,271865,In Progress,Nanpara,,2025-02-05,"The public buses are old, uncomfortable, and often overcrowded. There’s no dedicated lane for buses, leading to further delays in commuting.",9476663234,2025-02-05 01:41:04,"['Public Transport Regulations', 'Urban Transport Policy']",Public Transport,Medium,N/A,27.8667,False,24,State Transport Department
77.7,example1021@gmail.com,,"Kushinagar, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1021,Arun Kumar,Healthcare,Medium - Increased healthcare costs,Low - Minor impact on local environment,Concern,2025-02-05,26,N/A,1021,Health Services,High - Affecting public health and well-being,281112,Open,Farra,,2025-02-05,There is an alarming lack of medical supplies and qualified doctors in the local hospital. The healthcare system is in dire need of improvements.,9632861774,2025-02-05 01:41:04,"['Public Health Act', 'Hospital Management Guidelines']",Hospital Management,High,N/A,27.5833,False,49,Health Department
78.9547,example1022@gmail.com,,"Azamgarh, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1022,Nisha Gupta,Law & Order,Medium - Losses due to theft and crime,Low - Minor impact on local environment,Frustration,2025-02-05,7,N/A,1022,Police & Law,High - Increased crime and insecurity,206131,In Progress,Udi,,2025-02-05,"The police do not take complaints of harassment or domestic violence seriously. Cases are often dismissed without investigation, leaving victims helpless.",6613587303,2025-02-05 01:41:04,"['Police Act', 'Criminal Procedure Code']",Crime Management,High,N/A,26.7197,False,25,Police Department
77.5833,example1023@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1023,Ravi Yadav,Education,Medium - Increased expenses on private tuition,Low - Minor impact on local environment,Disappointment,2025-02-05,19,N/A,1023,Education,High - Affecting quality of education,202165,Open,Tappal,,2025-02-05,"The schools in our area lack basic infrastructure, such as functional toilets and clean drinking water. The lack of attention to education facilities is alarming.",8644945955,2025-02-05 01:41:04,"['Education Act', 'Teacher Recruitment Policy']",School Management,High,N/A,28.05,True,99,Education Department
81.4583,example1024@gmail.com,,"Badaun, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1024,Suman Verma,Infrastructure,Medium - Families spending extra money on private water tankers,Low - Minor impact on local vegetation,Anger,2025-02-05,5,N/A,1024,Water Supply,High - Affecting daily lives of hundreds of families in the area,225401,In Progress,Patranga R S,,2025-02-05,"There has been no water supply for over a week in our locality. We are forced to rely on private tankers, which are extremely costly and unreliable.",7279360575,2025-02-05 01:41:04,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",Water Distribution,High,N/A,26.8917,False,24,UP Jal Nigam
80.8285,example1025@gmail.com,,"Fatehpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1025,Pankaj Singh,Utilities,High - Business losses and additional expenses on generators,Medium - Increased generator usage causing pollution,Disgust,2025-02-05,5,N/A,1025,Electricity,High - Disrupting business operations and daily activities,229121,Open,Aihar,,2025-02-05,The power outages are so frequent that we can’t even charge our phones. This constant instability in power supply is affecting everyone.,7211671325,2025-02-05 01:41:04,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",Power Distribution,High,N/A,26.5258,True,71,UP Power Corporation Ltd.
78.8583,example1026@gmail.com,,"Faizabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1026,Rohit Kumar,Sanitation,Medium - Increased healthcare costs due to diseases,High - Pollution and contamination of local environment,Anger,2025-02-05,24,N/A,1026,Garbage,High - Affecting public health and hygiene,284125,Closed,Lakeview C P O,,2025-02-05,"Our locality is always surrounded by garbage, and it’s never cleared on time. It’s an eyesore, and the authorities need to take immediate action to improve sanitation.",8339476010,2025-02-05 01:41:04,"['Municipal Solid Waste Management Rules', 'Public Health Act']",Waste Management,High,N/A,25.125,True,45,Municipal Corporation
80.15,example1027@gmail.com,,"Amethi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1027,Anjali Gupta,Infrastructure,Medium - Vehicle repair costs and delays,Low - Minor impact on local environment,Disappointment,2025-02-05,23,N/A,1027,Roads,High - Increased accidents and injuries,241302,In Progress,Madhoganj (Hardoi),,2025-02-05,"The roads are full of potholes, and there is no maintenance. We’ve reported this multiple times, but nothing has been done to resolve the issue.",9819934897,2025-02-05 01:41:04,"['Public Works Department Guidelines', 'Road Safety Act']",Road Maintenance,High,N/A,27.1167,True,52,Public Works Department
77.1861,example1028@gmail.com,,"Pilibhit, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1028,Vikas Yadav,Transport,Medium - Increased expenses on alternative transport,Low - Minor impact on local environment,Frustration,2025-02-05,29,N/A,1028,Public Transport,High - Affecting daily commute and productivity,202150,Open,Pali Razapur,,2025-02-05,"There is no proper schedule for public buses, and they are often delayed or canceled. This has made commuting extremely difficult for daily travelers.",9687134858,2025-02-05 01:41:04,"['Public Transport Regulations', 'Urban Transport Policy']",Public Transport,Medium,N/A,26.6667,True,3,State Transport Department
82.1167,example1029@gmail.com,,"Lucknow, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1029,Ritu Sharma,Healthcare,Medium - Increased healthcare costs,Low - Minor impact on local environment,Concern,2025-02-05,28,N/A,1029,Health Services,High - Affecting public health and well-being,230132,In Progress,Lalganj (Pratapgarh),,2025-02-05,"The government hospitals in Lucknow are overcrowded, and the waiting time is excessive. Even basic medical care is hard to access due to the overwhelming number of patients.",7257947224,2025-02-05 01:41:04,"['Public Health Act', 'Hospital Management Guidelines']",Hospital Management,High,N/A,25.85,True,88,Health Department
79.0333,example1030@gmail.com,,"Gonda, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1030,Anil Verma,Infrastructure,Medium - Families spending extra money on private water tankers,Low - Minor impact on local vegetation,Frustration,2025-02-05,21,N/A,1030,Water Supply,High - Affecting daily lives of hundreds of families in the area,251305,Closed,Babri,,2025-02-05,"The water supply in our locality is irregular. It sometimes takes days for the supply to be restored, making it extremely difficult to manage daily household chores.",7272595717,2025-02-05 01:41:04,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",Water Distribution,High,N/A,25.5833,True,39,UP Jal Nigam
81.7333,example1031@gmail.com,,"Lalitpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1031,Rakesh Yadav,Utilities,High - Business losses and additional expenses on generators,Medium - Increased generator usage causing pollution,Irritation,2025-02-05,11,N/A,1031,Electricity,High - Disrupting business operations and daily activities,271829,In Progress,Gangwala,,2025-02-05,"The electricity supply in our town is unreliable. Power cuts happen multiple times a day, and we don't get proper updates on when the supply will be restored.",8603292892,2025-02-05 01:41:04,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",Power Distribution,High,N/A,27.7083,True,19,UP Power Corporation Ltd.
78.8583,example1032@gmail.com,Water Supply,Lucknow,2025-02-05 01:41:04,Sample Title 1032,Ravi Sharma,Utilities,Additional water procurement costs,Water wastage and contamination,Frustrated,2025-02-05,17,N/A,1032,,Disruption of daily life and hygiene,284001,Closed,Orchha Gate,,2025-02-05,Water supply in my area is irregular. Sometimes it’s unavailable for days. It’s really inconvenient!,8744914454,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,25.125,False,28,Water Supply Department
79.295,example1033@gmail.com,Road Conditions,Agra,2025-02-05 01:41:04,Sample Title 1033,Priya Yadav,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Annoyed,2025-02-05,27,N/A,1033,,Increased accidents and injuries,229408,In Progress,Kala Kankar,,2025-02-05,"The roads in my locality are in pathetic condition, full of potholes. It's very risky to drive!",6388499508,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,27.7994,False,70,Public Works Department
80.3083,example1034@gmail.com,Electricity,Varanasi,2025-02-05 01:41:04,Sample Title 1034,Vikram Singh,Utilities,Increased electricity costs,Increased generator usage causing pollution,Angry,2025-02-05,11,N/A,1034,,Disruption of daily activities,208003,Closed,Chakeri Ad,,2025-02-05,Frequent power cuts in my area are causing problems for daily life. I can’t even use the fan in this heat!,9960335747,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,26.475,True,79,Electricity Department
81.7833,example1035@gmail.com,Waste Management,Meerut,2025-02-05 01:41:04,Sample Title 1035,Aarti Gupta,Sanitation,Increased healthcare costs,Pollution and contamination,Disappointed,2025-02-05,20,N/A,1035,,Health hazards and unhygienic conditions,271310,In Progress,Paraspur,,2025-02-05,"The garbage collection is not regular, and there’s waste piling up on the streets.",7396256421,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,27.0333,True,10,Sanitation Department
78.8583,example1036@gmail.com,Police Behavior,Aligarh,2025-02-05 01:41:04,Sample Title 1036,Mohammad Imran,Law Enforcement,Loss of time and resources in following up complaints,None,Helpless,2025-02-05,20,N/A,1036,,Decreased public trust in law enforcement,284124,Open,Jakhaura,,2025-02-05,"The local police are very rude and unhelpful. I tried to file a complaint, but they just ignored me.",6729636479,2025-02-05 01:41:04,UP Police Modernization Act 2021,Police Services,High,N/A,25.125,True,33,UP Police Department
83.5667,example1037@gmail.com,Public Transport,Kanpur,2025-02-05 01:41:04,Sample Title 1037,Geeta Kumari,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Frustrated,2025-02-05,25,N/A,1037,,Inconvenience for daily commuters,232331,Closed,Zamania R S,,2025-02-05,"Buses are overcrowded, and there is no proper schedule. It’s hard to get to work on time!",6810174707,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,25.4333,False,89,Transport Department
80.6417,example1038@gmail.com,Traffic Jam,Noida,2025-02-05 01:41:04,Sample Title 1038,Ramesh Patel,Transportation,Loss of productivity,Increased pollution due to traffic congestion,Irritated,2025-02-05,25,N/A,1038,,Inconvenience for daily commuters,209801,In Progress,Unnao H O,,2025-02-05,"Every day, the traffic jam is a nightmare. It takes hours just to move a few kilometers.",9937733555,2025-02-05 01:41:04,UP Traffic Management Act 2016,Traffic Management,Medium,N/A,26.7,False,87,Traffic Police Department
83.1167,example1039@gmail.com,Corruption,Gorakhpur,2025-02-05 01:41:04,Sample Title 1039,Shivani Mishra,Governance,Increased costs due to bribery,None,Helpless,2025-02-05,5,N/A,1039,,Decreased public trust in government services,272204,Open,Udairajganj,,2025-02-05,I had to pay bribes just to get a simple government document. It’s really demoralizing.,8253311688,2025-02-05 01:41:04,UP Anti-Corruption Act 2018,Corruption Control,High,N/A,27.2,False,58,Anti-Corruption Bureau
79.6333,example1040@gmail.com,Healthcare,Jhansi,2025-02-05 01:41:04,Sample Title 1040,Dinesh Kumar,Healthcare,Increased medical expenses,None,Concerned,2025-02-05,9,N/A,1040,,Poor health outcomes,209601,Closed,Fatehgarh R S,,2025-02-05,The public healthcare facilities are overcrowded and lack basic equipment. It’s tough for a common man to get proper treatment.,8958259635,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,27.3667,True,5,Health Department
78.7478,example1041@gmail.com,Education,Bareilly,2025-02-05 01:41:04,Sample Title 1041,Suman Chauhan,Education,Increased private tuition costs,None,Angry,2025-02-05,20,N/A,1041,,Poor educational outcomes,204104,Closed,Kanth (Moradabad),,2025-02-05,The quality of education in government schools is very poor. My child is not learning anything useful.,8299966724,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,27.2384,True,49,Education Department
79.35,example1042@gmail.com,Waterlogging,Allahabad,2025-02-05 01:41:04,Sample Title 1042,Krishna Kumar,Infrastructure,Increased repair costs,Flooding and water damage,Frustrated,2025-02-05,19,N/A,1042,,Inconvenience for residents,285122,In Progress,Dakore,,2025-02-05,"After even a small rain, the streets get flooded. It’s very difficult to move around!",6284502956,2025-02-05 01:41:04,UP Infrastructure Development Act 2016,Urban Development,High,N/A,26.15,True,85,Urban Development Department
82.3833,example1043@gmail.com,Sanitation,Lucknow,2025-02-05 01:41:04,Sample Title 1043,Anjali Devi,Sanitation,Increased healthcare costs,Pollution and contamination,Embarrassed,2025-02-05,25,N/A,1043,,Health hazards and unhygienic conditions,228118,Closed,K N I (Sultanpur),,2025-02-05,The public toilets in our area are unhygienic and stink. It’s embarrassing to even use them.,6248920951,2025-02-05 01:41:04,UP Sanitation Act 2018,Public Amenities,High,N/A,26.1667,True,31,Sanitation Department
81.7833,example1044@gmail.com,Water Supply,Ghaziabad,2025-02-05 01:41:04,Sample Title 1044,Rahul Kumar,Utilities,Increased healthcare costs,Water contamination,Irritated,2025-02-05,9,N/A,1044,,Health hazards and risk of diseases,271310,Closed,Paraspur,,2025-02-05,The water supply in my area is contaminated with impurities. It’s unsafe to drink the water here.,8705991866,2025-02-05 01:41:04,UP Water Quality Act 2019,Water Quality,High,N/A,27.0333,False,100,Water Quality Department
83.0167,example1045@gmail.com,Road Conditions,Aligarh,2025-02-05 01:41:04,Sample Title 1045,Vandana Singh,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Frustrated,2025-02-05,4,N/A,1045,,Increased accidents and injuries,231305,In Progress,Narainpur,,2025-02-05,The roads are so narrow and full of traffic. I can't even walk properly without fear of getting hit by a vehicle.,7752893746,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,25.0167,False,69,Public Works Department
76.2541,example1046@gmail.com,Corruption,Moradabad,2025-02-05 01:41:04,Sample Title 1046,Umesh Patel,Law Enforcement,Loss of time and resources in following up complaints,None,Angry,2025-02-05,27,N/A,1046,,Decreased public trust in law enforcement,121002,Closed,Faridabad,,2025-02-05,I had to give money to get my work done in the office. This corruption is everywhere!,9428190616,2025-02-05 01:41:04,UP Police Modernization Act 2021,Police Services,High,N/A,28.9915,True,3,UP Police Department
78.0278,example1047@gmail.com,Public Transport,Agra,2025-02-05 01:41:04,Sample Title 1047,Simran Sharma,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Annoyed,2025-02-05,28,N/A,1047,,Inconvenience for daily commuters,282009,Open,C O D Agra,,2025-02-05,"The local trains are always late, and when they do arrive, they’re overcrowded. It’s a daily struggle.",8282822744,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,27.1833,False,88,Transport Department
80.65,example1048@gmail.com,Health Services,Varanasi,2025-02-05 01:41:04,Sample Title 1048,Harish Chandra,Law Enforcement,Loss of business due to crime,None,Disappointed,2025-02-05,17,N/A,1048,,Increased fear and insecurity among residents,210202,Open,Badausa,,2025-02-05,The government hospitals don’t have enough staff or medicine. People have to wait for hours just to get a prescription.,9331117998,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,25.25,False,22,Police Department
80.65,example1049@gmail.com,Electricity,Kanpur,2025-02-05 01:41:04,Sample Title 1049,Ritika Kumari,Utilities,Increased electricity costs,Increased generator usage causing pollution,Frustrated,2025-02-05,3,N/A,1049,,Disruption of daily activities,209841,In Progress,Hasanganj,,2025-02-05,"Power outages are frequent in our area, and when the electricity comes back, it often causes voltage issues.",9963282351,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,26.7833,False,7,Electricity Department
80.35,example1050@gmail.com,Crime,Noida,2025-02-05 01:41:04,Sample Title 1050,Neha Yadav,Sanitation,Increased healthcare costs,Pollution and contamination,Fearful,2025-02-05,22,N/A,1050,,Health hazards and unhygienic conditions,208020,In Progress,Panki Power House,,2025-02-05,There are reports of increasing thefts in our locality. It feels unsafe to even step out of the house after dark.,6919548664,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,26.4667,True,16,Sanitation Department
